Time,Thumb,Index,Middle,Ring,Pinky
1977,451095.97,68977.09,42218.05,33680.16,29838.44
2076,470362.47,118586.52,67338.78,48595.85,37271.01
2193,451095.97,142832.0,82682.94,60500.62,45927.23
2292,433311.53,140803.95,82682.94,62329.94,49863.49
2393,491304.38,144914.88,85842.02,66283.22,56301.75
2493,470362.47,149254.17,87502.57,66807.44,58337.95
2593,451095.97,147054.78,87502.57,66807.44,59619.63
2709,451095.97,144914.88,85842.02,65255.64,58337.95
2809,451095.97,140803.95,83453.28,63764.28,57508.93
2910,470362.47,149254.17,89220.87,67877.39,61403.77
3010,539171.44,147054.78,87502.57,66807.44,60500.62
3126,597115.8,156234.78,90102.64,67877.39,61403.77
3226,711193.75,153841.42,86665.26,64751.97,58337.95
3326,711193.75,163850.0,91000.0,67877.39,60949.38
3429,711193.75,166544.6,92843.25,69538.46,62329.94
3526,711193.75,161235.81,91913.39,68423.45,62329.94
3643,630916.7,156234.78,90102.64,67338.78,60500.62
3743,566695.0,147054.78,85842.02,64751.97,58337.95
3842,514150.03,156234.78,91000.0,68977.09,62329.94
3943,491304.38,149254.17,88354.32,67338.78,60949.38
4059,451095.97,149254.17,88354.32,67877.39,61863.92
4159,470362.47,142832.0,84236.36,63764.28,57920.96
4259,470362.47,142832.0,85032.51,65255.64,59619.63
4359,470362.47,151515.5,88354.32,67338.78,61403.77
4460,491304.38,147054.78,87502.57,66807.44,60949.38
4576,451095.97,147054.78,86665.26,66283.22,59619.63
4677,470362.47,142832.0,84236.36,63764.28,57920.96
4776,630916.7,156234.78,90102.64,68423.45,61863.92
4876,668694.06,158698.52,90102.64,67877.39,61403.77
4993,759360.06,163850.0,91913.39,68977.09,62329.94
5093,814407.1,158698.52,89220.87,66283.22,59619.63
5193,814407.1,163850.0,90102.64,66807.44,60500.62
5293,952024.94,175150.0,95736.1,70685.11,62801.92
5393,952024.94,166544.6,92843.25,68977.09,62329.94
5510,877923.06,169323.44,93790.0,69538.46,62329.94
5610,814407.1,158698.52,88354.32,65766.0,59187.19
5710,711193.75,163850.0,91913.39,69538.46,62801.92
5809,630916.7,158698.52,91000.0,68423.45,61863.92
5925,539171.44,153841.42,90102.64,67877.39,62329.94
6027,491304.38,147054.78,86665.26,65255.64,59187.19
6127,491304.38,142832.0,84236.36,64254.9,58760.0
6227,491304.38,151515.5,90102.64,68423.45,61863.92
6343,470362.47,147054.78,87502.57,66807.44,60949.38
6443,470362.47,149254.17,88354.32,66807.44,60949.38
6542,514150.03,144914.88,84236.36,64254.9,57920.96
6643,597115.8,153841.42,89220.87,67338.78,61403.77
6743,668694.06,161235.81,91000.0,68423.45,61863.92
6860,814407.1,163850.0,91913.39,68977.09,61863.92
6960,877923.06,161235.81,90102.64,66807.44,60057.41
7059,952024.94,161235.81,88354.32,65766.0,59187.19
7158,952024.94,175150.0,95736.1,70685.11,63280.0
7275,877923.06,169323.44,92843.25,68977.09,62329.94
7377,759360.06,166544.6,93790.0,69538.46,62801.92
7477,711193.75,156234.78,87502.57,65766.0,59187.19
7576,630916.7,156234.78,89220.87,67338.78,61403.77
7677,566695.0,158698.52,91000.0,68423.45,61863.92
7792,514150.03,153841.42,89220.87,67877.39,61863.92
7893,491304.38,147054.78,87502.57,66283.22,59619.63
7993,470362.47,142832.0,84236.36,63764.28,57920.96
8093,470362.47,151515.5,89220.87,68423.45,61863.92
8210,491304.38,147054.78,87502.57,66807.44,60949.38
8310,514150.03,151515.5,89220.87,67877.39,61403.77
8410,597115.8,149254.17,85842.02,64751.97,58337.95
8509,668694.06,156234.78,88354.32,66807.44,60500.62
8609,759360.06,166544.6,92843.25,69538.46,62329.94
8726,814407.1,166544.6,92843.25,68977.09,62329.94
8827,952024.94,169323.44,92843.25,68423.45,60949.38
8927,952024.94,163850.0,89220.87,65766.0,59187.19
9026,877923.06,172190.48,94754.13,70685.11,63280.0
9143,759360.06,166544.6,92843.25,69538.46,62329.94
9244,668694.06,161235.81,91913.39,68977.09,62801.92
9343,597115.8,151515.5,87502.57,65255.64,59619.63
9444,539171.44,149254.17,87502.57,66283.22,60500.62
9543,491304.38,156234.78,91000.0,68423.45,61863.92
9660,491304.38,151515.5,88354.32,67338.78,61403.77
9759,491304.38,149254.17,88354.32,66807.44,60500.62
9860,470362.47,142832.0,84236.36,64254.9,57920.96
9959,514150.03,153841.42,90102.64,68423.45,61863.92
10076,630916.7,158698.52,91000.0,67877.39,61403.77
10176,814407.1,163850.0,91913.39,68977.09,62329.94
10276,952024.94,166544.6,91000.0,66807.44,59619.63
10377,1039600.06,163850.0,90102.64,66807.44,60500.62
10493,1039600.06,175150.0,95736.1,70685.11,63280.0
10593,814407.1,169323.44,92843.25,69538.46,62329.94
10692,814407.1,166544.6,92843.25,68977.09,62329.94
10792,711193.75,153841.42,87502.57,65255.64,59187.19
